Initializing GLUT...
Initializing OpenGL...
OpenGL Version: 4.6.0 - Build 27.20.100.8682
OpenGL Renderer: Intel(R) HD Graphics 630
Shading Language Version: 4.60 - Build 27.20.100.8682
Loaded 1 spline(s).
Num control points in spline 0: 13.
x: 0.88377 y: 0.15196 z: 0
x: 0.883345 y: 0.152439 z: 0
x: 0.88292 y: 0.152917 z: 0
x: 0.882496 y: 0.153397 z: 0
x: 0.882071 y: 0.153877 z: 0
x: 0.881647 y: 0.154358 z: 0
x: 0.881222 y: 0.154839 z: 0
x: 0.880797 y: 0.155321 z: 0
x: 0.880373 y: 0.155804 z: 0
x: 0.879948 y: 0.156288 z: 0
x: 0.879524 y: 0.156772 z: 0
x: 0.8791 y: 0.157257 z: 0
x: 0.878675 y: 0.157742 z: 0
x: 0.878251 y: 0.158229 z: 0
x: 0.877827 y: 0.158716 z: 0
x: 0.877403 y: 0.159203 z: 0
x: 0.876979 y: 0.159692 z: 0
x: 0.876555 y: 0.160181 z: 0
x: 0.876131 y: 0.16067 z: 0
x: 0.875708 y: 0.161161 z: 0
x: 0.875284 y: 0.161652 z: 0
x: 0.874861 y: 0.162144 z: 0
x: 0.874437 y: 0.162636 z: 0
x: 0.874014 y: 0.163129 z: 0
x: 0.873591 y: 0.163623 z: 0
x: 0.873168 y: 0.164118 z: 0
x: 0.872745 y: 0.164613 z: 0
x: 0.872322 y: 0.165109 z: 0
x: 0.871899 y: 0.165605 z: 0
x: 0.871477 y: 0.166103 z: 0
x: 0.871055 y: 0.166601 z: 0
x: 0.870633 y: 0.1671 z: 0
x: 0.870211 y: 0.167599 z: 0
x: 0.869789 y: 0.168099 z: 0
x: 0.869367 y: 0.1686 z: 0
x: 0.868946 y: 0.169102 z: 0
x: 0.868524 y: 0.169604 z: 0
x: 0.868103 y: 0.170107 z: 0
x: 0.867682 y: 0.170611 z: 0
x: 0.867262 y: 0.171115 z: 0
x: 0.866841 y: 0.17162 z: 0
x: 0.866421 y: 0.172126 z: 0
x: 0.866001 y: 0.172633 z: 0
x: 0.865581 y: 0.17314 z: 0
x: 0.865161 y: 0.173648 z: 0
x: 0.864742 y: 0.174157 z: 0
x: 0.864323 y: 0.174666 z: 0
x: 0.863904 y: 0.175177 z: 0
x: 0.863485 y: 0.175688 z: 0
x: 0.863067 y: 0.176199 z: 0
x: 0.862648 y: 0.176711 z: 0
x: 0.86223 y: 0.177225 z: 0
x: 0.861813 y: 0.177738 z: 0
x: 0.861395 y: 0.178253 z: 0
x: 0.860978 y: 0.178768 z: 0
x: 0.860561 y: 0.179284 z: 0
x: 0.860145 y: 0.179801 z: 0
x: 0.859729 y: 0.180318 z: 0
x: 0.859313 y: 0.180837 z: 0
x: 0.858897 y: 0.181355 z: 0
x: 0.858482 y: 0.181875 z: 0
x: 0.858066 y: 0.182396 z: 0
x: 0.857652 y: 0.182917 z: 0
x: 0.857237 y: 0.183439 z: 0
x: 0.856823 y: 0.183961 z: 0
x: 0.856409 y: 0.184485 z: 0
x: 0.855996 y: 0.185009 z: 0
x: 0.855583 y: 0.185533 z: 0
x: 0.85517 y: 0.186059 z: 0
x: 0.854758 y: 0.186585 z: 0
x: 0.854346 y: 0.187112 z: 0
x: 0.853934 y: 0.18764 z: 0
x: 0.853523 y: 0.188169 z: 0
x: 0.853112 y: 0.188698 z: 0
x: 0.852701 y: 0.189228 z: 0
x: 0.852291 y: 0.189759 z: 0
x: 0.851881 y: 0.190291 z: 0
x: 0.851472 y: 0.190823 z: 0
x: 0.851063 y: 0.191356 z: 0
x: 0.850654 y: 0.19189 z: 0
x: 0.850246 y: 0.192425 z: 0
x: 0.849838 y: 0.19296 z: 0
x: 0.849431 y: 0.193496 z: 0
x: 0.849024 y: 0.194033 z: 0
x: 0.848617 y: 0.194571 z: 0
x: 0.848211 y: 0.195109 z: 0
x: 0.847806 y: 0.195648 z: 0
x: 0.8474 y: 0.196188 z: 0
x: 0.846996 y: 0.196729 z: 0
x: 0.846591 y: 0.19727 z: 0
x: 0.846187 y: 0.197813 z: 0
x: 0.845784 y: 0.198356 z: 0
x: 0.845381 y: 0.198899 z: 0
x: 0.844979 y: 0.199444 z: 0
x: 0.844577 y: 0.199989 z: 0
x: 0.844175 y: 0.200535 z: 0
x: 0.843774 y: 0.201082 z: 0
x: 0.843374 y: 0.20163 z: 0
x: 0.842974 y: 0.202178 z: 0
x: 0.842574 y: 0.202727 z: 0
x: 0.842175 y: 0.203277 z: 0
x: 0.841777 y: 0.203828 z: 0
x: 0.841379 y: 0.20438 z: 0
x: 0.840981 y: 0.204932 z: 0
x: 0.840584 y: 0.205485 z: 0
x: 0.840188 y: 0.206039 z: 0
x: 0.839792 y: 0.206594 z: 0
x: 0.839397 y: 0.207149 z: 0
x: 0.839002 y: 0.207705 z: 0
x: 0.838608 y: 0.208263 z: 0
x: 0.838214 y: 0.20882 z: 0
x: 0.837821 y: 0.209379 z: 0
x: 0.837429 y: 0.209938 z: 0
x: 0.837037 y: 0.210499 z: 0
x: 0.836645 y: 0.21106 z: 0
x: 0.836255 y: 0.211621 z: 0
x: 0.835864 y: 0.212184 z: 0
x: 0.835475 y: 0.212747 z: 0
x: 0.835086 y: 0.213312 z: 0
x: 0.834698 y: 0.213877 z: 0
x: 0.83431 y: 0.214442 z: 0
x: 0.833923 y: 0.215009 z: 0
x: 0.833536 y: 0.215576 z: 0
x: 0.83315 y: 0.216145 z: 0
x: 0.832765 y: 0.216714 z: 0
x: 0.83238 y: 0.217283 z: 0
x: 0.831996 y: 0.217854 z: 0
x: 0.831613 y: 0.218426 z: 0
x: 0.83123 y: 0.218998 z: 0
x: 0.830848 y: 0.219571 z: 0
x: 0.830467 y: 0.220145 z: 0
x: 0.830086 y: 0.220719 z: 0
x: 0.829706 y: 0.221295 z: 0
x: 0.829327 y: 0.221871 z: 0
x: 0.828948 y: 0.222448 z: 0
x: 0.82857 y: 0.223026 z: 0
x: 0.828192 y: 0.223605 z: 0
x: 0.827816 y: 0.224185 z: 0
x: 0.82744 y: 0.224765 z: 0
x: 0.827065 y: 0.225346 z: 0
x: 0.82669 y: 0.225928 z: 0
x: 0.826316 y: 0.226511 z: 0
x: 0.825943 y: 0.227095 z: 0
x: 0.825571 y: 0.227679 z: 0
x: 0.825199 y: 0.228265 z: 0
x: 0.824828 y: 0.228851 z: 0
x: 0.824458 y: 0.229438 z: 0
x: 0.824089 y: 0.230026 z: 0
x: 0.82372 y: 0.230614 z: 0
x: 0.823352 y: 0.231204 z: 0
x: 0.822985 y: 0.231794 z: 0
x: 0.822619 y: 0.232385 z: 0
x: 0.822253 y: 0.232977 z: 0
x: 0.821889 y: 0.23357 z: 0
x: 0.821525 y: 0.234164 z: 0
x: 0.821161 y: 0.234759 z: 0
x: 0.820799 y: 0.235354 z: 0
x: 0.820437 y: 0.23595 z: 0
x: 0.820076 y: 0.236547 z: 0
x: 0.819716 y: 0.237145 z: 0
x: 0.819357 y: 0.237744 z: 0
x: 0.818999 y: 0.238343 z: 0
x: 0.818641 y: 0.238944 z: 0
x: 0.818285 y: 0.239545 z: 0
x: 0.817929 y: 0.240147 z: 0
x: 0.817574 y: 0.24075 z: 0
x: 0.817219 y: 0.241354 z: 0
x: 0.816866 y: 0.241959 z: 0
x: 0.816513 y: 0.242564 z: 0
x: 0.816162 y: 0.243171 z: 0
x: 0.815811 y: 0.243778 z: 0
x: 0.815461 y: 0.244386 z: 0
x: 0.815112 y: 0.244995 z: 0
x: 0.814764 y: 0.245605 z: 0
x: 0.814416 y: 0.246215 z: 0
x: 0.81407 y: 0.246827 z: 0
x: 0.813724 y: 0.247439 z: 0
x: 0.81338 y: 0.248053 z: 0
x: 0.813036 y: 0.248667 z: 0
x: 0.812693 y: 0.249282 z: 0
x: 0.812351 y: 0.249898 z: 0
x: 0.812011 y: 0.250514 z: 0
x: 0.81167 y: 0.251132 z: 0
x: 0.811331 y: 0.25175 z: 0
x: 0.810993 y: 0.25237 z: 0
x: 0.810656 y: 0.25299 z: 0
x: 0.81032 y: 0.253611 z: 0
x: 0.809984 y: 0.254233 z: 0
x: 0.80965 y: 0.254856 z: 0
x: 0.809316 y: 0.255479 z: 0
x: 0.808984 y: 0.256104 z: 0
x: 0.808653 y: 0.256729 z: 0
x: 0.808322 y: 0.257356 z: 0
x: 0.807992 y: 0.257983 z: 0
x: 0.807664 y: 0.258611 z: 0
x: 0.807336 y: 0.25924 z: 0
x: 0.80701 y: 0.25987 z: 0
x: 0.806684 y: 0.260501 z: 0
x: 0.80636 y: 0.261132 z: 0
x: 0.806036 y: 0.261765 z: 0
x: 0.805714 y: 0.262398 z: 0
x: 0.805392 y: 0.263033 z: 0
x: 0.805072 y: 0.263668 z: 0
x: 0.804752 y: 0.264304 z: 0
x: 0.804434 y: 0.264941 z: 0
x: 0.804116 y: 0.265579 z: 0
x: 0.8038 y: 0.266217 z: 0
x: 0.803485 y: 0.266857 z: 0
x: 0.803171 y: 0.267498 z: 0
x: 0.802857 y: 0.268139 z: 0
x: 0.802545 y: 0.268782 z: 0
x: 0.802234 y: 0.269425 z: 0
x: 0.801924 y: 0.270069 z: 0
x: 0.801615 y: 0.270714 z: 0
x: 0.801308 y: 0.27136 z: 0
x: 0.801001 y: 0.272007 z: 0
x: 0.800695 y: 0.272655 z: 0
x: 0.800391 y: 0.273303 z: 0
x: 0.800088 y: 0.273953 z: 0
x: 0.799785 y: 0.274603 z: 0
